"gene"	"freq_DE"	"freq_lasso"
"325"	"KLRC3"	100	0
"326"	"KLRD1"	100	0
"327"	"KLRF1"	100	0
"328"	"KLRK1"	100	0
"329"	"KMO"	100	0
"330"	"KRT18"	100	50
"331"	"LAMP2"	98	0
"332"	"LAPTM4B"	100	4
"333"	"LBH"	100	0
"334"	"LCK"	100	0
"335"	"LDLRAD4"	100	3
"336"	"LEF1"	100	34
"337"	"LGALS1"	99	0
"338"	"LIG4"	100	47
"339"	"LILRB1"	100	0
"340"	"LILRB2"	100	0
"341"	"LINS1"	100	0
"342"	"LMNA"	100	45
"343"	"LMO2"	100	0
"344"	"LPAR6"	100	0
"345"	"LRIG1"	100	49
"346"	"LRRN3"	100	0
"347"	"LTB"	100	0
"348"	"LTC4S"	76	0
"349"	"LY75-CD302"	100	0
"350"	"LY9"	100	0
"351"	"LY96"	100	0
"352"	"LYZ"	100	0
"353"	"MAFF"	97	0
"354"	"MAL"	100	0
"355"	"MALT1"	100	0
"356"	"MAP3K7CL"	100	0
"357"	"MAP7"	100	0
"358"	"MAPK12"	100	11
"359"	"MAPKAPK3"	100	0
"360"	"MARCH3"	46	0
"361"	"MBOAT7"	100	0
"362"	"MCM2"	96	0
"363"	"MCM4"	100	0
"364"	"MCUB"	100	0
"365"	"MEIS1"	100	0
"366"	"MEST"	100	57
"367"	"MFSD1"	100	0
"368"	"MGLL"	100	0
"369"	"MICALL2"	100	58
"370"	"MIR3648-1"	100	0
"371"	"MIR3648-2"	100	0
"372"	"MKLN1"	100	0
"373"	"MLC1"	100	0
"374"	"MMD"	100	11
"375"	"MME"	100	3
"376"	"MMP2"	100	33
"377"	"MPO"	100	5
"378"	"MS4A1"	100	0
"379"	"MS4A3"	100	0
"380"	"MSANTD2"	100	0
"381"	"MTMR1"	100	0
"382"	"MX1"	100	0
"383"	"MYB"	100	0
"384"	"MYBL1"	100	0
"385"	"MYCN"	100	37
"386"	"MYLK"	100	68
"387"	"MZB1"	100	3
"388"	"NEAT1"	97	30
"389"	"NEDD9"	100	0
"390"	"NEIL1"	100	6
"391"	"NELL2"	100	0
"392"	"NET1"	100	0
"393"	"NFE2"	100	0
"394"	"NFIL3"	99	0
"395"	"NLRP1"	100	0
"396"	"NME4"	100	0
"397"	"NME7"	100	59
"398"	"NMT2"	100	0
"399"	"NPR3"	100	100
"400"	"NPY"	100	0
"401"	"NR1H3"	100	95
"402"	"NR3C2"	100	0
"403"	"NR4A2"	99	0
"404"	"NRG1"	100	6
"405"	"NRIP3"	100	96
"406"	"NRXN2"	68	0
"407"	"NT5E"	100	0
"408"	"NUAK2"	100	0
"409"	"NUCB2"	100	0
"410"	"NUSAP1"	93	0
"411"	"NXF3"	100	0
"412"	"OAS1"	79	0
"413"	"OBSL1"	100	22
"414"	"OPTN"	100	0
"415"	"OSBPL10"	100	0
"416"	"P2RX5"	100	0
"417"	"P2RY10"	100	0
"418"	"P2RY14"	100	0
"419"	"P4HB"	100	0
"420"	"PAICS"	98	0
"421"	"PARP12"	100	0
"422"	"PASK"	100	0
"423"	"PAWR"	31	6
"424"	"PAX5"	100	0
"425"	"PCDH9"	100	39
"426"	"PCLAF"	100	0
"427"	"PCNX2"	100	0
"428"	"PCSK5"	100	1
"429"	"PCSK7"	100	0
"430"	"PDCD6IPP2"	100	2
"431"	"PDGFC"	100	44
"432"	"PDIA5"	100	0
"433"	"PDK4"	98	0
"434"	"PEG10"	100	0
"435"	"PFKFB2"	93	9
"436"	"PFKM"	100	100
"437"	"PGGHG"	100	0
